Bandeira,Unidade federativa,Abreviação,Sede de governo,Área (km²),População (Censo 2022),Densidade (2005),PIB (2015),(% total) (2015),PIB per capita (R$) (2015),IDH (2010),Alfabetização (2016),Mortalidade infantil (2016),Expectativa de vida (2016),Região,Mortalidade infantil (/1000)
,Acre,AC,Rio Branco,164122.2,830018.0,430,13622000.0,2,16953.46,663,"86,9%","17,0‰",73.9,Norte,17.0
,Alagoas,AL,Maceió,27767.7,3127683.0,10861,46364000.0,8,13877.53,631,"80,6%","19,5‰",71.6,Nordeste,19.5
,Amapá,AP,Macapá,142814.6,733759.0,416,13861000.0,2,18079.54,708,95%,"23,2‰",73.9,Norte,23.2
,Amazonas,AM,Manaus,1570745.7,3941613.0,205,86560000.0,14,21978.95,674,"93,1%","18,2‰",71.9,Norte,18.2
,Bahia,BA,Salvador,564692.7,14141626.0,2446,245025000.0,41,16115.89,660,87%,"17,3‰",73.5,Nordeste,17.3
,Ceará,CE,Fortaleza,148825.6,8794957.0,5440,130621000.0,22,14669.14,682,"84,8%","14,4‰",73.8,Nordeste,14.4
,Distrito Federal,DF,Brasília,5822.1,2817381.0,40073,215613000.0,36,73971.05,824,"97,4%","10,5‰",78.1,Centro-Oeste,10.5
,Espírito Santo,ES,Vitória,46077.5,3833712.0,7397,120363000.0,2,30627.45,740,"93,8%","8,8‰",78.2,Sudeste,8.8
,Goiás,GO,Goiânia,340086.7,7056495.0,1652,173632000.0,29,26265.32,735,"93,5%","14,9‰",74.2,Centro-Oeste,14.9
,Maranhão,MA,São Luís,331983.3,6755805.0,1838,78475000.0,13,11366.23,639,"83,3%","21,3‰",70.6,Nordeste,21.3
,Mato Grosso,MT,Cuiabá,903357.9,3658649.0,310,107418000.0,18,32894.96,725,"93,5%","16,9‰",74.2,Centro-Oeste,16.9
,Mato Grosso do Sul,MS,Campo Grande,357125.0,2757013.0,634,83082000.0,14,31337.22,729,"93,7%","14,0‰",75.5,Centro-Oeste,14.0
,Minas Gerais,MG,Belo Horizonte,586528.3,20539989.0,3279,519326000.0,87,24884.94,731,"93,8%","10,9‰",77.2,Sudeste,10.9
,Pará,PA,Belém,1247689.5,8121025.0,558,130883000.0,22,16009.98,646,"90,7%","16,6‰",72.1,Norte,16.6
,Paraíba,PB,João Pessoa,56439.8,3974687.0,6371,56140000.0,9,14133.32,658,"83,7%","16,1‰",73.2,Nordeste,16.1
,Paraná,PR,Curitiba,199314.9,11444380.0,5148,376960000.0,63,33768.62,749,"95,5%","9,3‰",77.1,Sul,9.3
,Pernambuco,PE,Recife,98311.6,9058931.0,8558,156955000.0,26,16795.34,673,"87,2%","12,7‰",73.9,Nordeste,12.7
,Piauí,PI,Teresina,251529.2,3271199.0,1195,39148000.0,7,12218.51,646,"82,8%","19,1‰",71.1,Nordeste,19.1
,Rio de Janeiro,RJ,Rio de Janeiro,43696.1,16055174.0,35205,659137000.0,11,39826.95,761,"97,3%","11,5‰",76.2,Sudeste,11.5
,Rio Grande do Norte,RN,Natal,52796.8,3302729.0,5688,57250000.0,1,16631.86,684,"85,3%","14,7‰",75.7,Nordeste,14.7
,Rio Grande do Sul,RS,Porto Alegre,281748.5,11882965.0,3849,381985000.0,64,33960.36,746,"96,8%","9,6‰",77.8,Sul,9.6
,Rondônia,RO,Porto Velho,237576.2,1581196.0,646,36563000.0,6,20677.95,690,"93,3%","20,0‰",71.3,Norte,20.0
,Roraima,RR,Boa Vista,224299.0,636707.0,174,10354000.0,2,20476.71,707,"93,4%","17,2‰",71.5,Norte,17.2
,Santa Catarina,SC,Florianópolis,95346.2,7610361.0,6153,249073000.0,42,36525.28,774,"97,2%","9,2‰",79.1,Sul,9.2
,São Paulo,SP,São Paulo,248209.4,44411238.0,16293,1939890000.0,324,43694.68,783,"97,2%","9,9‰",78.1,Sudeste,9.9
,Sergipe,SE,Aracaju,21910.3,2210004.0,8981,38554000.0,6,17189.28,665,"85,3%","16,2‰",72.7,Nordeste,16.2
,Tocantins,TO,Palmas,277620.9,1511460.0,470,28930000.0,5,19094.16,699,"89,6%","15,8‰",73.4,Norte,15.8
